,Price,Area,Location,City,bedrom
139,68.92,1237,Horamavu,Banglore,2
140,92.77,1275,Bommanahalli,Banglore,2
141,116.0,1615,Bommanahalli,Banglore,3
142,109.0,1515,Bommanahalli,Banglore,3
143,105.0,1455,Bommanahalli,Banglore,3
144,98.59,1360,Bommanahalli,Banglore,3
145,69.73999,1409,Ramamurthy Nagar,Banglore,3
146,57.05,1139,Ramamurthy Nagar,Banglore,2
147,57.72,1154,Ramamurthy Nagar,Banglore,2
148,67.20999,1353,Ramamurthy Nagar,Banglore,3
149,67.61,1362,Ramamurthy Nagar,Banglore,3
150,56.77,1133,Ramamurthy Nagar,Banglore,2
151,53.84,1068,Ramamurthy Nagar,Banglore,2
152,91.41,1540,Whitefield Hope Farm Junction,Banglore,3
153,95.22,1610,Whitefield Hope Farm Junction,Banglore,3
154,100.0,1715,Whitefield Hope Farm Junction,Banglore,3
155,72.11,1195,Whitefield Hope Farm Junction,Banglore,2
156,85.14,1425,Whitefield Hope Farm Junction,Banglore,3
157,103.0,1760,Whitefield Hope Farm Junction,Banglore,3
158,77.83,1300,Whitefield Hope Farm Junction,Banglore,2
159,74.29,1235,Whitefield Hope Farm Junction,Banglore,2
160,78.09999,1305,Whitefield Hope Farm Junction,Banglore,2
161,35.06,660,Electronic City Phase 1,Banglore,1
162,62.5,1120,Electronic City Phase 1,Banglore,2
163,62.5,1120,Electronic City Phase 1,Banglore,2
164,37.97999,715,Electronic City Phase 1,Banglore,1
165,37.97999,715,Electronic City Phase 1,Banglore,1
166,50.34,910,Electronic City Phase 1,Banglore,2
167,50.34,910,Electronic City Phase 1,Banglore,2
168,78.97,1430,Electronic City Phase 1,Banglore,3
169,78.97,1430,Electronic City Phase 1,Banglore,3
170,53.27,965,Electronic City Phase 1,Banglore,2
171,53.27,965,Electronic City Phase 1,Banglore,2
172,82.69,1500,Electronic City Phase 1,Banglore,3
173,82.69,1500,Electronic City Phase 1,Banglore,3
174,59.58,1065,Electronic City Phase 1,Banglore,2
175,59.58,1065,Electronic City Phase 1,Banglore,2
176,69.0,1273,Yelahanka,Banglore,2
177,97.0,1705,Yelahanka,Banglore,3
178,73.0,1304,Yelahanka,Banglore,2
179,91.8,1700,Anjanapura,Banglore,3
180,69.86,1277,Carmelaram,Banglore,2
181,60.81,1111,Carmelaram,Banglore,2
182,78.91,1443,Carmelaram,Banglore,3
183,60.7,1109,Carmelaram,Banglore,2
184,59.61,1089,Carmelaram,Banglore,2
185,84.42,1544,Carmelaram,Banglore,3
186,90.03,1647,Carmelaram,Banglore,3
187,59.23,1082,Carmelaram,Banglore,2
188,61.74,1128,Carmelaram,Banglore,2
189,59.94,1095,Carmelaram,Banglore,2
190,81.8,1496,Carmelaram,Banglore,3
191,76.62,1401,Carmelaram,Banglore,3
192,87.63,1538,Horamavu,Banglore,3
193,89.57,1573,Horamavu,Banglore,3
194,65.81,1181,Horamavu,Banglore,2
195,96.4,1687,Horamavu,Banglore,3
196,66.64,1196,Horamavu,Banglore,2
197,66.31,1190,Horamavu,Banglore,2
198,100.0,1766,Horamavu,Banglore,3
199,98.79,1730,Horamavu,Banglore,3
200,85.29,1532,Horamavu,Banglore,3
201,72.52,1305,Jalahalli,Banglore,2
202,90.37,1645,Jalahalli,Banglore,3
203,72.98,1315,Jalahalli,Banglore,2
204,104.0,1950,Jalahalli,Banglore,3
205,95.2,1750,Jalahalli,Banglore,3
206,72.29,1300,Jalahalli,Banglore,2
207,98.87,1830,Jalahalli,Banglore,3
208,103.0,1935,Jalahalli,Banglore,3
209,71.59999,1285,Jalahalli,Banglore,2
210,107.0,2010,Jalahalli,Banglore,3
211,89.0,1615,Jalahalli,Banglore,3
212,93.82,1720,Jalahalli,Banglore,3
213,73.44,1325,Jalahalli,Banglore,2
214,70.91,1270,Jalahalli,Banglore,2
215,62.79,1320,Kasavanahalli,Banglore,3
216,53.06,1100,Kasavanahalli,Banglore,2
217,66.55,1405,Kasavanahalli,Banglore,3
218,51.95,1075,Kasavanahalli,Banglore,2
219,54.83,1140,Kasavanahalli,Banglore,2
220,55.27,1150,Kasavanahalli,Banglore,2
221,64.12,1350,Kasavanahalli,Banglore,3
222,60.36,1265,Kasavanahalli,Banglore,3
223,49.3,1015,Kasavanahalli,Banglore,2
224,66.11,1395,Kasavanahalli,Banglore,3
225,51.73,1070,Kasavanahalli,Banglore,2
226,60.58,1270,Kasavanahalli,Banglore,3
227,62.79,1320,Kasavanahalli,Banglore,3
228,50.85,1050,Kasavanahalli,Banglore,2
229,64.34,1355,Kasavanahalli,Banglore,3
230,52.62,1090,Kasavanahalli,Banglore,2
231,66.81999,1485,Whitefield Hope Farm Junction,Banglore,3
232,65.25,1450,Whitefield Hope Farm Junction,Banglore,3
233,69.97,1555,Whitefield Hope Farm Junction,Banglore,3
234,60.97,1355,Whitefield Hope Farm Junction,Banglore,3
235,61.2,1360,Whitefield Hope Farm Junction,Banglore,3
236,61.42,1365,Whitefield Hope Farm Junction,Banglore,3
237,67.27,1495,Whitefield Hope Farm Junction,Banglore,3
238,62.77,1395,Whitefield Hope Farm Junction,Banglore,3
239,67.5,1500,Whitefield Hope Farm Junction,Banglore,3
240,64.56999,1435,Whitefield Hope Farm Junction,Banglore,3
241,52.4,1310,Bommasandra,Banglore,3
242,41.2,1030,Bommasandra,Banglore,2
243,70.12,1275,Bellandur,Banglore,3
244,81.95,1490,Bellandur,Banglore,3
245,80.5,1706,RR Nagar,Banglore,3
246,59.0,1258,RR Nagar,Banglore,2
247,81.0,1723,RR Nagar,Banglore,3
248,64.0,1369,RR Nagar,Banglore,2
249,62.75,1335,RR Nagar,Banglore,2
250,144.0,2000,Whitefield Hope Farm Junction,Banglore,3
251,137.0,1900,Whitefield Hope Farm Junction,Banglore,3
252,113.99999,1560,Whitefield Hope Farm Junction,Banglore,3
253,45.0,1097,Begur,Banglore,2
254,52.4,1310,Bommasandra,Banglore,3
255,41.2,1030,Bommasandra,Banglore,2
257,89.54,1216,Varthur,Banglore,2
258,88.0,1195,Varthur,Banglore,2
259,154.0,2321,Varthur,Banglore,3
260,110.0,1655,Varthur,Banglore,3
261,52.67,1505,Uttarahalli,Banglore,3
262,35.07,1002,Uttarahalli,Banglore,2
263,48.16,1376,Uttarahalli,Banglore,3
264,43.12,1232,Uttarahalli,Banglore,2
265,52.95,1513,Uttarahalli,Banglore,3
266,36.96,1056,Uttarahalli,Banglore,2
267,41.4,1183,Uttarahalli,Banglore,2
268,38.32,1095,Uttarahalli,Banglore,2
269,33.77,965,Uttarahalli,Banglore,2
270,45.6,1303,Uttarahalli,Banglore,3
271,50.15,1433,Uttarahalli,Banglore,3
272,37.69,1077,Uttarahalli,Banglore,2
273,34.47,985,Uttarahalli,Banglore,2
274,49.56,1416,Uttarahalli,Banglore,3
275,53.23,1521,Uttarahalli,Banglore,3
276,39.54999,1130,Uttarahalli,Banglore,2
277,34.19,977,Uttarahalli,Banglore,2
278,53.51,1529,Uttarahalli,Banglore,3
279,44.34,1267,Uttarahalli,Banglore,3
280,94.53,1725,Hosa Road,Banglore,3
281,150.0,1795,Sahakar Nagar,Banglore,2
282,89.0,1000,Sahakar Nagar,Banglore,1
283,144.0,1740,Sahakar Nagar,Banglore,2
284,127.0,1490,Sahakar Nagar,Banglore,2
285,125.0,1320,Sahakar Nagar,Banglore,3
286,200.99999,2330,Sahakar Nagar,Banglore,4
287,188.0,2165,Sahakar Nagar,Banglore,3
288,137.0,1645,Sahakar Nagar,Banglore,2
289,189.0,1985,Sahakar Nagar,Banglore,3
290,85.0,1616,other,Banglore,3
291,90.0,1541,Hosa Road,Banglore,3
292,93.0,1515,Varthur,Banglore,3
293,110.0,1690,Uttarahalli,Banglore,3
294,180.0,1770,other,Banglore,3
296,227.99999,2370,other,Banglore,3
297,32.0,700,other,Banglore,1
298,32.0,700,other,Banglore,1
299,110.0,1335,JP Nagar Phase 7,Banglore,2
300,98.0,1690,other,Banglore,3
302,135.0,1500,Sahakar Nagar,Banglore,3
303,156.0,1880,JP Nagar Phase 7,Banglore,3
304,189.0,1985,Sahakar Nagar,Banglore,3
305,154.0,1795,Sahakar Nagar,Banglore,2
306,123.0,1410,Sahakar Nagar,Banglore,2
307,68.45999,1042,JP Nagar Phase 8,Banglore,2
308,91.73,1408,JP Nagar Phase 8,Banglore,3
309,94.71,1455,JP Nagar Phase 8,Banglore,3
310,72.47,1105,JP Nagar Phase 8,Banglore,2
311,55.99,1120,other,Banglore,2
312,118.0,1345,Sahakar Nagar,Banglore,1
313,48.15,1107,Horamavu,Banglore,2
314,48.8,1122,Horamavu,Banglore,2
315,50.5,1161,Horamavu,Banglore,2
316,46.19,1062,Horamavu,Banglore,2
317,47.85,1100,Horamavu,Banglore,2
318,49.72,1143,Horamavu,Banglore,2
319,47.37,1089,Horamavu,Banglore,2
320,48.54,1116,Horamavu,Banglore,2
322,214.0,2378,Banashankari,Banglore,3
325,92.0,1376,RR Nagar,Banglore,2
326,80.0,1168,RR Nagar,Banglore,2
327,92.0,1373,RR Nagar,Banglore,2
328,80.0,1168,RR Nagar,Banglore,2
329,80.0,1168,RR Nagar,Banglore,2
330,93.0,1376,RR Nagar,Banglore,2
331,79.0,1168,RR Nagar,Banglore,2
332,92.0,1376,RR Nagar,Banglore,2
333,91.0,1373,RR Nagar,Banglore,2
334,90.0,1373,RR Nagar,Banglore,2
335,79.0,1168,RR Nagar,Banglore,2
336,79.0,1160,RR Nagar,Banglore,2
337,80.0,1168,RR Nagar,Banglore,2
338,78.0,1160,RR Nagar,Banglore,2
339,92.0,1373,RR Nagar,Banglore,2
340,91.0,1376,RR Nagar,Banglore,2
341,91.0,1373,RR Nagar,Banglore,2
342,90.0,1373,RR Nagar,Banglore,2
343,79.0,1168,RR Nagar,Banglore,2
344,88.0,1373,RR Nagar,Banglore,2
348,90.6,1275,Begur,Banglore,2
349,86.44,1210,Begur,Banglore,2
350,88.36,1240,Begur,Banglore,2
351,102.0,1450,Begur,Banglore,3
352,85.28,1192,Begur,Banglore,2
353,85.16,1190,Begur,Banglore,2
354,88.04,1235,Begur,Banglore,2
355,99.1,1400,Begur,Banglore,3
356,76.34,1606,Ramamurthy Nagar,Banglore,3
357,59.7,1239,Ramamurthy Nagar,Banglore,2
358,76.75,1615,Ramamurthy Nagar,Banglore,3
359,57.02,1180,Ramamurthy Nagar,Banglore,2
360,62.1,1292,Ramamurthy Nagar,Banglore,2
361,25.2,900,Attibele,Banglore,2
364,28.0,1000,Attibele,Banglore,2
365,24.64,880,Attibele,Banglore,2
366,55.57,1185,Kadugodi,Banglore,2
367,119.0,2540,Kadugodi,Banglore,3
368,77.38,1650,Kadugodi,Banglore,3
369,63.54,1355,Kadugodi,Banglore,2
370,28.14,600,Kadugodi,Banglore,1
371,54.63,1165,Kadugodi,Banglore,2
372,74.56999,1590,Kadugodi,Banglore,3
373,54.16,1155,Kadugodi,Banglore,2
374,117.0,2495,Kadugodi,Banglore,3
375,56.04,1195,Kadugodi,Banglore,2
376,71.75,1530,Kadugodi,Banglore,3
377,75.04,1600,Kadugodi,Banglore,3
378,56.28,1200,Kadugodi,Banglore,2
379,52.0,884,Nagarbhavi,Banglore,2
380,52.0,884,Nagarbhavi,Banglore,2
381,63.85,1120,other,Banglore,2
382,65.31999,1005,other,Banglore,2
383,94.57,1455,other,Banglore,3
384,90.35,1390,other,Banglore,3
385,66.62,1025,other,Banglore,2
386,71.81999,1105,other,Banglore,2
387,73.77,1135,other,Banglore,2
388,71.25,1425,Whitefield Hope Farm Junction,Banglore,3
389,63.89,1125,other,Banglore,2
390,64.59,1125,other,Banglore,2
391,118.0,2021,ITPL,Banglore,3
392,115.0,1971,ITPL,Banglore,3
393,79.2,1354,ITPL,Banglore,2
394,107.0,1845,ITPL,Banglore,3
395,106.0,1823,ITPL,Banglore,3
396,84.64,1447,ITPL,Banglore,2
397,81.84,1399,ITPL,Banglore,2
398,101.0,1735,ITPL,Banglore,3
399,81.78,1398,ITPL,Banglore,2
400,112.99999,1940,ITPL,Banglore,3
401,101.0,1743,ITPL,Banglore,3
402,82.89,1417,ITPL,Banglore,2
403,78.56,1343,ITPL,Banglore,2
404,82.54,1411,ITPL,Banglore,2
405,78.20999,1337,ITPL,Banglore,2
406,117.0,2010,ITPL,Banglore,3
407,105.0,1797,ITPL,Banglore,3
408,103.0,1768,ITPL,Banglore,3
409,44.55,990,JP Nagar Phase 8,Banglore,2
410,49.05,1090,JP Nagar Phase 8,Banglore,2
411,55.5,1250,other,Banglore,2
412,45.0,1012,other,Banglore,2
413,207.0,1987,JP Nagar Phase 7,Banglore,3
414,39.99,1333,Sarjapur,Banglore,3
416,28.74,958,Sarjapur,Banglore,2
417,36.82,1473,Attibele,Banglore,3
418,34.27,1371,Attibele,Banglore,3
419,39.32,1573,Attibele,Banglore,3
420,38.22,1529,Attibele,Banglore,3
421,24.87,995,Attibele,Banglore,2
422,55.8,1240,JP Nagar Phase 8,Banglore,3
424,49.1,884,Nagarbhavi,Banglore,2
425,49.1,884,Nagarbhavi,Banglore,2
426,43.42,1241,Electronic City Phase 1,Banglore,3
427,33.38,954,Electronic City Phase 1,Banglore,2
429,34.15,976,Electronic City Phase 1,Banglore,2
430,31.14,890,Electronic City Phase 1,Banglore,2
431,28.79,823,Electronic City Phase 1,Banglore,2
432,44.85,1282,Electronic City Phase 1,Banglore,3
433,31.24,893,Electronic City Phase 1,Banglore,2
434,47.13,1347,Electronic City Phase 1,Banglore,3
435,45.17,1291,Electronic City Phase 1,Banglore,2
436,47.34,1353,Electronic City Phase 1,Banglore,3
437,31.59,903,Electronic City Phase 1,Banglore,2
438,42.19,1206,Electronic City Phase 1,Banglore,3
439,47.34,1353,Electronic City Phase 1,Banglore,3
441,36.45,1042,Electronic City Phase 1,Banglore,2
442,43.42,1241,Electronic City Phase 1,Banglore,2
443,22.53,644,Electronic City Phase 1,Banglore,1
444,28.93,827,Electronic City Phase 1,Banglore,2
446,105.0,2000,Nagarbhavi,Banglore,3
447,48.67,1352,Electronic City Phase 1,Banglore,3
448,47.35,1352,Electronic City Phase 1,Banglore,3
451,33.39,954,Electronic City Phase 1,Banglore,2
452,29.62,823,Electronic City Phase 1,Banglore,2
453,28.8,823,Electronic City Phase 1,Banglore,2
454,23.18,644,Electronic City Phase 1,Banglore,1
456,22.54,644,Electronic City Phase 1,Banglore,1
457,29.73,826,Electronic City Phase 1,Banglore,2
458,48.7,1353,Electronic City Phase 1,Banglore,3
460,47.13,1347,Electronic City Phase 1,Banglore,3
462,45.62,1304,Electronic City Phase 1,Banglore,3
463,47.83,1367,Electronic City Phase 1,Banglore,2
464,43.42,1241,Electronic City Phase 1,Banglore,2
465,28.79,823,Electronic City Phase 1,Banglore,2
466,50.45,1370,Electronic City Phase 2,Banglore,3
467,43.62,1175,Electronic City Phase 2,Banglore,2
468,55.0,1500,Electronic City Phase 2,Banglore,3
469,45.65,1233,Electronic City Phase 2,Banglore,2
470,40.0,1100,Electronic City Phase 2,Banglore,2
471,48.0,1300,Electronic City Phase 2,Banglore,3
472,44.85,1210,Electronic City Phase 2,Banglore,2
473,40.11999,1075,Electronic City Phase 2,Banglore,2
474,45.2,1220,Electronic City Phase 2,Banglore,2
475,42.92,1155,Electronic City Phase 2,Banglore,2
476,47.3,1280,Electronic City Phase 2,Banglore,3
477,49.75,1350,Electronic City Phase 2,Banglore,3
478,49.05,1330,Electronic City Phase 2,Banglore,3
479,42.22,1135,Electronic City Phase 2,Banglore,2
480,39.95,1070,Electronic City Phase 2,Banglore,2
481,47.0,1005,Nagarbhavi,Banglore,2
483,33.72,1124,Sarjapur,Banglore,2
484,29.22,974,Sarjapur,Banglore,2
485,28.44,948,Sarjapur,Banglore,2
486,29.01,967,Sarjapur,Banglore,2
487,28.2,940,Sarjapur,Banglore,2
488,44.58,1486,Sarjapur,Banglore,3
490,36.99,1233,Sarjapur,Banglore,3
491,39.06,1302,Sarjapur,Banglore,3
492,28.89,963,Sarjapur,Banglore,2
493,34.29,1143,Sarjapur,Banglore,2
494,41.64,1388,Sarjapur,Banglore,3
495,33.84,1128,Sarjapur,Banglore,2
496,29.35,1174,Attibele,Banglore,2
497,40.97,1639,Attibele,Banglore,3
498,32.02,1281,Attibele,Banglore,2
499,28.67,1147,Attibele,Banglore,2
500,34.11999,1365,Attibele,Banglore,3
501,24.36,870,Bommasandra,Banglore,2
502,28.0,1000,Bommasandra,Banglore,2
504,25.2,900,other,Banglore,2
505,30.38,1085,other,Banglore,2
507,31.77,710,Ramamurthy Nagar,Banglore,1
508,72.0,1195,Bellandur,Banglore,2
509,204.0,2360,Thanisandra,Banglore,3
510,176.0,2307,Thanisandra,Banglore,3
511,202.0,2127,JP Nagar Phase 7,Banglore,3
512,40.02,1040,Krishnarajapura,Banglore,2
513,45.68,1187,Krishnarajapura,Banglore,2
514,40.56,1054,Krishnarajapura,Banglore,2
515,43.03,1118,Krishnarajapura,Banglore,2
516,42.99,1117,Krishnarajapura,Banglore,2
517,45.41,1180,Krishnarajapura,Banglore,2
518,42.1,1094,Krishnarajapura,Banglore,2
519,41.95,1090,Krishnarajapura,Banglore,2
520,42.26,1098,Krishnarajapura,Banglore,2
521,46.38,1205,Krishnarajapura,Banglore,2
522,46.99,1221,Krishnarajapura,Banglore,3
523,44.26,1150,Krishnarajapura,Banglore,2
524,39.25,1020,Krishnarajapura,Banglore,2
525,43.45,1129,Krishnarajapura,Banglore,2
526,40.86999,1062,Krishnarajapura,Banglore,2
527,40.76,1059,Krishnarajapura,Banglore,2
528,40.72,1058,Krishnarajapura,Banglore,2
529,46.14,1199,Krishnarajapura,Banglore,2
530,40.54,1448,Jigani,Banglore,3
531,35.0,1250,Jigani,Banglore,3
532,41.65999,1488,Jigani,Banglore,3
533,30.68,1096,Jigani,Banglore,2
534,41.74,1491,Jigani,Banglore,3
535,30.52,1090,Jigani,Banglore,2
536,30.85,1102,Jigani,Banglore,2
537,32.64,1166,Jigani,Banglore,2
538,25.76,920,Jigani,Banglore,2
539,31.97,1142,Jigani,Banglore,2
540,43.42,1551,Jigani,Banglore,3
541,31.78,1135,Jigani,Banglore,2
542,39.13,1505,other,Banglore,3
543,35.61999,1370,other,Banglore,3
544,42.92,1533,Jigani,Banglore,3
545,28.99,1115,other,Banglore,2
546,29.25,1125,other,Banglore,2
547,29.84,1066,Jigani,Banglore,2
548,38.09,1465,other,Banglore,3
549,66.98,1675,Krishnarajapura,Banglore,3
550,49.58,1240,Krishnarajapura,Banglore,2
551,49.58,1240,Krishnarajapura,Banglore,2
552,48.78,1220,Krishnarajapura,Banglore,2
553,48.78,1220,Krishnarajapura,Banglore,2
554,48.98,1225,Krishnarajapura,Banglore,2
555,48.98,1225,Krishnarajapura,Banglore,2
556,50.78,1270,Krishnarajapura,Banglore,2
557,50.78,1270,Krishnarajapura,Banglore,2
558,45.0,1075,Kasavanahalli,Banglore,2
560,24.36,870,Attibele,Banglore,2
561,28.0,1000,Attibele,Banglore,2
562,33.88,1210,Attibele,Banglore,3
563,25.2,900,Attibele,Banglore,2
564,30.38,1085,Attibele,Banglore,2
565,24.64,880,Attibele,Banglore,2
566,45.0,1075,Kasavanahalli,Banglore,2
567,49.28,1120,Varthur,Banglore,2
569,72.11,1373,JP Nagar Phase 3,Banglore,3
570,59.1,1109,JP Nagar Phase 3,Banglore,2
571,74.23,1415,JP Nagar Phase 3,Banglore,3
572,92.27,1782,JP Nagar Phase 3,Banglore,3
573,72.63,1383,JP Nagar Phase 3,Banglore,3
574,64.94,1227,JP Nagar Phase 3,Banglore,2
575,84.58,1626,JP Nagar Phase 3,Banglore,3
576,90.94,1755,JP Nagar Phase 3,Banglore,3
577,78.47,1502,JP Nagar Phase 3,Banglore,3
578,65.20999,1233,JP Nagar Phase 3,Banglore,2
579,71.84,1367,JP Nagar Phase 3,Banglore,3
580,58.58,1098,JP Nagar Phase 3,Banglore,2
581,76.89,1470,JP Nagar Phase 3,Banglore,3
582,64.15,1211,JP Nagar Phase 3,Banglore,3
583,57.52,1077,JP Nagar Phase 3,Banglore,2
584,63.88,1206,JP Nagar Phase 3,Banglore,2
585,70.78,1346,JP Nagar Phase 3,Banglore,3
586,58.04,1087,JP Nagar Phase 3,Banglore,2
587,112.0,2185,JP Nagar Phase 3,Banglore,3
588,76.08,1453,JP Nagar Phase 3,Banglore,3
589,63.61,1200,JP Nagar Phase 3,Banglore,2
590,81.92,1572,JP Nagar Phase 3,Banglore,3
591,62.55,1179,JP Nagar Phase 3,Banglore,2
592,88.3,1701,JP Nagar Phase 3,Banglore,3
593,95.17,1841,JP Nagar Phase 3,Banglore,3
594,75.56,1443,JP Nagar Phase 3,Banglore,3
595,75.54,1442,JP Nagar Phase 3,Banglore,3
596,62.28,1173,JP Nagar Phase 3,Banglore,2
597,75.81,1448,JP Nagar Phase 3,Banglore,3
598,108.0,2121,JP Nagar Phase 3,Banglore,3
599,62.03,1168,JP Nagar Phase 3,Banglore,2
600,73.98,1411,JP Nagar Phase 3,Banglore,3
601,60.7,1141,JP Nagar Phase 3,Banglore,2
602,67.33,1276,JP Nagar Phase 3,Banglore,3
603,61.25,1152,JP Nagar Phase 3,Banglore,2
604,80.86,1550,JP Nagar Phase 3,Banglore,3
605,72.9,1389,JP Nagar Phase 3,Banglore,3
606,66.54,1260,JP Nagar Phase 3,Banglore,3
607,79.8,1529,JP Nagar Phase 3,Banglore,3
608,73.22,1395,JP Nagar Phase 3,Banglore,3
609,60.43,1136,JP Nagar Phase 3,Banglore,2
610,67.06,1270,JP Nagar Phase 3,Banglore,3
611,73.42,1399,JP Nagar Phase 3,Banglore,3
612,78.0,1650,other,Banglore,3
613,68.0,1500,other,Banglore,3
614,57.0,1140,Begur,Banglore,2
615,60.0,1220,Begur,Banglore,2
616,57.55,1150,Begur,Banglore,2
617,66.95,1350,Begur,Banglore,3
618,58.96,1180,Begur,Banglore,2
